in s,C1 in V
-6.0199824E-02,-2.08008E-03
-6.0198896E-02,-1.49414E-03
-6.0197968E-02,-1.68945E-03
-6.0197040E-02,-1.78711E-03
-6.0196112E-02,-1.68945E-03
-6.0195184E-02,-1.39648E-03
-6.0194256E-02,-1.68945E-03
-6.0193328E-02,-1.49414E-03
-6.0192400E-02,-1.68945E-03
-6.0191472E-02,-1.78711E-03
-6.0190544E-02,-1.59180E-03
-6.0189616E-02,-1.68945E-03
-6.0188688E-02,-1.49414E-03
-6.0187760E-02,-1.20117E-03
-6.0186832E-02,-1.49414E-03
-6.0185904E-02,-1.88477E-03
-6.0184976E-02,-1.39648E-03
-6.0184048E-02,-1.78711E-03
-6.0183120E-02,-1.78711E-03
-6.0182192E-02,-1.78711E-03
-6.0181264E-02,-1.78711E-03
-6.0180336E-02,-1.49414E-03
-6.0179408E-02,-1.78711E-03
-6.0178480E-02,-1.39648E-03
-6.0177552E-02,-1.49414E-03
-6.0176624E-02,-1.59180E-03
-6.0175696E-02,-1.39648E-03
-6.0174768E-02,-2.08008E-03
-6.0173840E-02,-1.49414E-03
-6.0172912E-02,-1.39648E-03
-6.0171984E-02,-1.98242E-03
-6.0171056E-02,-1.29883E-03
-6.0170128E-02,-1.59180E-03
-6.0169200E-02,-1.39648E-03
-6.0168272E-02,-1.39648E-03
-6.0167344E-02,-1.20117E-03
-6.0166416E-02,-1.78711E-03
-6.0165488E-02,-1.49414E-03
-6.0164560E-02,-1.59180E-03
-6.0163632E-02,-1.78711E-03
-6.0162704E-02,-1.59180E-03
-6.0161776E-02,-1.49414E-03
-6.0160848E-02,-1.49414E-03
-6.0159920E-02,-2.17773E-03
-6.0158992E-02,-2.17773E-03
-6.0158064E-02,-1.39648E-03
-6.0157136E-02,-1.59180E-03
-6.0156208E-02,-1.39648E-03
-6.0155280E-02,-1.20117E-03
-6.0154352E-02,-1.88477E-03
-6.0153424E-02,-1.68945E-03
-6.0152496E-02,-1.59180E-03
-6.0151568E-02,-1.49414E-03
-6.0150640E-02,-1.68945E-03
-6.0149712E-02,-1.88477E-03
-6.0148784E-02,-1.78711E-03
-6.0147856E-02,-1.39648E-03
-6.0146928E-02,-1.59180E-03
-6.0146000E-02,-1.59180E-03
-6.0145072E-02,-1.49414E-03
-6.0144144E-02,-1.68945E-03
-6.0143216E-02,-1.68945E-03
-6.0142288E-02,-1.39648E-03
-6.0141360E-02,-1.59180E-03
-6.0140432E-02,-1.39648E-03
-6.0139504E-02,-1.39648E-03
-6.0138576E-02,-1.78711E-03
-6.0137648E-02,-1.68945E-03
-6.0136720E-02,-1.39648E-03
-6.0135792E-02,-1.49414E-03
-6.0134864E-02,-1.49414E-03
-6.0133936E-02,-1.88477E-03
-6.0133008E-02,-1.20117E-03
-6.0132080E-02,-1.98242E-03
-6.0131152E-02,-1.88477E-03
-6.0130224E-02,-1.59180E-03
-6.0129296E-02,-1.10352E-03
-6.0128368E-02,-1.68945E-03
-6.0127440E-02,-1.78711E-03
-6.0126512E-02,-1.88477E-03
-6.0125584E-02,-2.08008E-03
-6.0124656E-02,-1.49414E-03
-6.0123728E-02,-1.49414E-03
-6.0122800E-02,-1.59180E-03
-6.0121872E-02,-1.98242E-03
-6.0120944E-02,-2.27539E-03
-6.0120016E-02,-1.39648E-03
-6.0119088E-02,-1.49414E-03
-6.0118160E-02,-1.39648E-03
-6.0117232E-02,-1.39648E-03
-6.0116304E-02,-1.78711E-03
-6.0115376E-02,-1.49414E-03
-6.0114448E-02,-1.68945E-03
-6.0113520E-02,-1.39648E-03
-6.0112592E-02,-1.49414E-03
-6.0111664E-02,-1.68945E-03
-6.0110736E-02,-1.39648E-03
-6.0109808E-02,-1.78711E-03
-6.0108880E-02,-1.78711E-03
-6.0107952E-02,-1.88477E-03
-6.0107024E-02,-1.59180E-03
-6.0106096E-02,-1.68945E-03
-6.0105168E-02,-1.49414E-03
-6.0104240E-02,-1.00586E-03
-6.0103312E-02,-1.49414E-03
-6.0102384E-02,-1.49414E-03
-6.0101456E-02,-1.59180E-03
-6.0100528E-02,-1.98242E-03
-6.0099600E-02,-1.49414E-03
-6.0098672E-02,-1.49414E-03
-6.0097744E-02,-1.68945E-03
-6.0096816E-02,-1.68945E-03
-6.0095888E-02,-1.59180E-03
-6.0094960E-02,-1.39648E-03
-6.0094032E-02,-1.68945E-03
-6.0093104E-02,-1.49414E-03
-6.0092176E-02,-1.39648E-03
-6.0091248E-02,-1.78711E-03
-6.0090320E-02,-1.88477E-03
-6.0089392E-02,-1.98242E-03
-6.0088464E-02,-1.68945E-03
-6.0087536E-02,-1.39648E-03
-6.0086608E-02,-1.68945E-03
-6.0085680E-02,-1.29883E-03
-6.0084752E-02,-1.10352E-03
-6.0083824E-02,-1.59180E-03
-6.0082896E-02,-1.10352E-03
-6.0081968E-02,-1.59180E-03
-6.0081040E-02,-1.49414E-03
-6.0080112E-02,-1.49414E-03
-6.0079184E-02,-1.59180E-03
-6.0078256E-02,-1.59180E-03
-6.0077328E-02,-1.59180E-03
-6.0076400E-02,-1.49414E-03
-6.0075472E-02,-1.78711E-03
-6.0074544E-02,-1.68945E-03
-6.0073616E-02,-1.68945E-03
-6.0072688E-02,-1.78711E-03
-6.0071760E-02,-1.29883E-03
-6.0070832E-02,-1.39648E-03
-6.0069904E-02,-1.59180E-03
-6.0068976E-02,-1.39648E-03
-6.0068048E-02,-1.49414E-03
-6.0067120E-02,-1.39648E-03
-6.0066192E-02,-1.49414E-03
-6.0065264E-02,-1.49414E-03
-6.0064336E-02,-1.78711E-03
-6.0063408E-02,-1.39648E-03
-6.0062480E-02,-1.39648E-03
-6.0061552E-02,-1.49414E-03
-6.0060624E-02,-1.59180E-03
-6.0059696E-02,-1.39648E-03
-6.0058768E-02,-1.88477E-03
-6.0057840E-02,-1.78711E-03
-6.0056912E-02,-1.49414E-03
-6.0055984E-02,-1.68945E-03
-6.0055056E-02,-1.49414E-03
-6.0054128E-02,-1.68945E-03
-6.0053200E-02,-1.68945E-03
-6.0052272E-02,-1.39648E-03
-6.0051344E-02,-1.68945E-03
-6.0050416E-02,-1.29883E-03
-6.0049488E-02,-1.68945E-03
-6.0048560E-02,-1.78711E-03
-6.0047632E-02,-1.39648E-03
-6.0046704E-02,-1.49414E-03
-6.0045776E-02,-1.49414E-03
-6.0044848E-02,-1.39648E-03
-6.0043920E-02,-2.08008E-03
-6.0042992E-02,-1.78711E-03
-6.0042064E-02,-1.49414E-03
-6.0041136E-02,-1.88477E-03
-6.0040208E-02,-1.98242E-03
-6.0039280E-02,-1.39648E-03
-6.0038352E-02,-2.17773E-03
-6.0037424E-02,-1.49414E-03
-6.0036496E-02,-1.59180E-03
-6.0035568E-02,-1.68945E-03
-6.0034640E-02,-1.39648E-03
-6.0033712E-02,-1.29883E-03
-6.0032784E-02,-1.39648E-03
-6.0031856E-02,-1.68945E-03
-6.0030928E-02,-1.59180E-03
-6.0030000E-02,-1.78711E-03
-6.0029072E-02,-1.49414E-03
-6.0028144E-02,-1.78711E-03
-6.0027216E-02,-1.88477E-03
-6.0026288E-02,-1.68945E-03
-6.0025360E-02,-1.78711E-03
-6.0024432E-02,-1.68945E-03
-6.0023504E-02,-1.39648E-03
-6.0022576E-02,-1.68945E-03
-6.0021648E-02,-1.39648E-03
-6.0020720E-02,-1.98242E-03
-6.0019792E-02,-1.00586E-03
-6.0018864E-02,-1.49414E-03
-6.0017936E-02,-1.78711E-03
-6.0017008E-02,-1.88477E-03
-6.0016080E-02,-1.78711E-03
-6.0015152E-02,-1.88477E-03
-6.0014224E-02,-1.68945E-03
-6.0013296E-02,-1.20117E-03
-6.0012368E-02,-1.20117E-03
-6.0011440E-02,-1.78711E-03
-6.0010512E-02,-1.39648E-03
-6.0009584E-02,-1.59180E-03
-6.0008656E-02,-1.49414E-03
-6.0007728E-02,-1.39648E-03
-6.0006800E-02,-1.00586E-03
-6.0005872E-02,-1.98242E-03
-6.0004944E-02,-1.39648E-03
-6.0004016E-02,-1.78711E-03
-6.0003088E-02,-1.39648E-03
-6.0002160E-02,-1.78711E-03
-6.0001232E-02,-1.59180E-03
-6.0000304E-02,-1.88477E-03
-5.9999376E-02,-1.59180E-03
-5.9998448E-02,-1.29883E-03
-5.9997520E-02,-1.59180E-03
-5.9996592E-02,-1.10352E-03
-5.9995664E-02,-1.78711E-03
-5.9994736E-02,-1.39648E-03
-5.9993808E-02,-1.39648E-03
-5.9992880E-02,-1.49414E-03
-5.9991952E-02,-1.29883E-03
-5.9991024E-02,-1.49414E-03
-5.9990096E-02,-1.88477E-03
-5.9989168E-02,-1.49414E-03
-5.9988240E-02,-1.98242E-03
-5.9987312E-02,-1.39648E-03
-5.9986384E-02,-1.78711E-03
-5.9985456E-02,-1.29883E-03
