Style,Standard
Append Mode,1
Fill Mode,1
Capacity,1000000
Count,4119
Base Time Seconds,1677238755
Base Time Fractional,.107329056
Base Time,02/24/2023 11:39:15.107329056,
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Seconds,Channel,CH Label
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238755.107329056,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238755.459411056,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238756.006493056,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238756.786897056,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238757.566188102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238758.000911102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238758.517015102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238759.850487102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238760.544446102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238760.995603102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238761.862916102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238762.372312102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238762.854322102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238763.420595102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238763.862009102,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238764.422343102,None,
9387.015745067,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238765.337933102,None,
9521.179669889,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238765.671493102,None,
8998.87140448,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238766.005085102,None,
9331.594006753,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238766.338732102,None,
8641.460641793,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238766.672405102,None,
9217.860712472,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238767.005940102,None,
9221.008117056,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238767.339582102,None,
10044.66936695,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238767.673155102,None,
9091.617199065,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238768.006717102,None,
9269.254606074,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238768.340341102,None,
10567.25254553,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238768.673876102,None,
9114.305042301,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238769.007447102,None,
10113.26812259,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238769.340992102,None,
10517.76938178,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238769.674568102,None,
8971.407739469,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238770.008160102,None,
9972.693840759,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238770.341714102,None,
9931.581919273,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238770.675304102,None,
10270.01482,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238771.008863102,None,
9822.204795926,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238771.342457102,None,
9034.476759347,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238771.675977102,None,
10661.17978717,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238772.009538102,None,
9514.687692721,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238772.343122102,None,
9047.723015564,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238772.676673102,None,
10560.48544354,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238773.010228102,None,
8446.044480559,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238773.343822102,None,
11218.88747314,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238773.677413102,None,
8602.98190676,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238774.011016102,None,
9967.616105565,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238774.344587102,None,
9271.724027945,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238774.678190102,None,
10575.60676639,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238775.011690102,None,
8000.616378471,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238775.345229102,None,
10642.56110747,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238775.678797102,None,
8926.81985644,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238776.012336102,None,
9840.592284554,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238776.345934102,None,
9338.692597993,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238776.679556102,None,
8556.267370579,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238777.013109102,None,
10634.49043668,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238777.346749102,None,
9957.473319835,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238777.680426102,None,
7968.074403894,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238778.014093102,None,
9730.994119412,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238778.347629102,None,
10168.30530179,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238778.681161102,None,
8712.077856991,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238779.014746102,None,
9186.834405835,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238779.348365102,None,
10542.48301078,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238779.681890102,None,
8381.392549763,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238780.015487102,None,
10274.02825937,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238780.349065102,None,
8066.074554759,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238780.682617102,None,
10249.97010486,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238781.016251102,None,
8844.344052097,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238781.349740102,None,
9916.335129302,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238781.683347102,None,
8893.810466469,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238782.016904102,None,
9401.028110557,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238782.350492102,None,
9240.080850043,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238782.684000102,None,
10076.7125098,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238783.017524102,None,
8003.279314518,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238783.351076102,None,
9016.30335745,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238783.684655102,None,
8854.324865559,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238784.018263102,None,
10126.45156279,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238784.351862102,None,
8588.568588234,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238784.685429102,None,
10014.31986869,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238785.019004102,None,
8788.359524911,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238785.352543102,None,
9447.626310844,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238785.686127102,None,
8450.742986337,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238786.019663102,None,
9668.332231709,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238786.353191102,None,
8598.000987488,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238786.686727102,None,
9913.331274939,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238787.020350102,None,
8452.978352312,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238787.353970860,None,
9234.661399803,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238787.687604860,None,
9065.403137115,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238788.021232860,None,
9740.142159008,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238788.354859860,None,
9098.146273793,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238788.688405860,None,
8620.341476431,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238789.022032860,None,
8688.910278326,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238789.355611860,None,
9038.184851869,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238789.689250860,None,
9949.137751359,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238790.022800860,None,
8899.443791257,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238790.356334860,None,
9550.642568603,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238790.689924860,None,
8399.891502845,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238791.023520860,None,
9170.223895696,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238791.357124860,None,
8752.108190351,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238791.690693860,None,
9594.080577876,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238792.024304860,None,
8903.950087934,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238792.357980860,None,
9365.087286811,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238792.691542860,None,
9792.311225052,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238793.025107860,None,
8984.116572048,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238793.358693860,None,
9179.273315948,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238793.692381860,None,
9198.191043023,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238794.025903860,None,
9709.817443501,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238794.359433860,None,
8457.867936668,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238794.693069860,None,
9513.481824191,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238795.026723860,None,
8727.705366844,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238795.360352860,None,
8969.402046829,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238795.694032860,None,
8706.434030077,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677238796.027568860,None,
