Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,2156
Base Time Seconds,1677177425
Base Time Fractional,.853948299
Base Time,02/23/2023 18:37:05.853948299,
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Seconds,Channel,CH Label
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177425.853948299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177426.187664299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177426.521217299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177426.854690299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177427.188629299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177427.522206299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177427.855700299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177428.189224299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177428.522705299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177428.856656299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177429.190235299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177429.523718299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177429.857195299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177430.190666299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177430.524123299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177430.857588299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177431.191055299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177431.524512299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177431.857972299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177432.191440299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177432.524902299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177432.858361299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177433.191827299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177433.525287299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177433.858747299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177434.192213299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177434.525673299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177434.859129299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177435.192593299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177435.526053299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177435.859513299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177436.192976299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177436.526436299,None,
0,Hertz,100000,6.5,F,F,F,F,F,F,Front,F,Main,1677177436.859899299,None,
