"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.243137700E-2,-5.705261230E-2,-5.345153809E-1,1.206970215E-1,5.509350814E-1
1.493381900E-2,-7.090759277E-2,-5.568847656E-1,1.174926758E-1,5.735442945E-1
1.740574200E-2,-1.039276123E-1,-6.154785156E-1,1.004486084E-1,6.322220138E-1
1.990818400E-2,-1.475982666E-1,-6.879119873E-1,8.021545410E-2,7.081261679E-1
2.241062500E-2,-1.838226318E-1,-7.560882568E-1,5.891418457E-2,7.803403701E-1
2.488254900E-2,-2.232360840E-1,-8.242645264E-1,3.015136719E-2,8.544913479E-1
2.738499100E-2,-2.637176514E-1,-8.892517090E-1,-7.476806641E-4,9.275322963E-1
2.985691400E-2,-3.041992188E-1,-9.563598633E-1,-3.269958496E-2,1.004106875E0
3.235935600E-2,-3.382873535E-1,-1.020278931E0,-6.359863281E-2,1.076778629E0
3.486179700E-2,-3.787689209E-1,-1.077804565E0,-9.661865234E-2,1.146500650E0
3.733372100E-2,-4.192504883E-1,-1.138519287E0,-1.317749023E-1,1.220394102E0
3.983616200E-2,-4.597167969E-1,-1.191787720E0,-1.616058350E-1,1.287561241E0
4.230808600E-2,-4.938049316E-1,-1.241851807E0,-1.946258545E-1,1.350525247E0
4.481052800E-2,-5.300292969E-1,-1.286590576E0,-2.223205566E-1,1.409139027E0
4.728245100E-2,-5.630493164E-1,-1.322814941E0,-2.446899414E-1,1.458333662E0
4.978489300E-2,-5.960845947E-1,-1.350509644E0,-2.617340088E-1,1.499232415E0
5.228733400E-2,-6.248321533E-1,-1.370758057E0,-2.777099609E-1,1.531834094E0
5.475925800E-2,-6.504058838E-1,-1.386734009E0,-2.915649414E-1,1.559188616E0
5.726170000E-2,-6.738433838E-1,-1.392059326E0,-2.958221436E-1,1.574612592E0
5.973362300E-2,-6.951446533E-1,-1.399520874E0,-2.990264893E-1,1.591006476E0
6.223606500E-2,-7.143249512E-1,-1.403778076E0,-2.958221436E-1,1.602611545E0
6.470798900E-2,-7.249755859E-1,-1.402709961E0,-2.883605957E-1,1.605097090E0
6.721043000E-2,-7.324371338E-1,-1.402709961E0,-2.841033936E-1,1.607723275E0
6.968235400E-2,-7.377624512E-1,-1.401641846E0,-2.745208740E-1,1.607561821E0
7.218479500E-2,-7.377624512E-1,-1.398452759E0,-2.659912109E-1,1.603344903E0
7.468723700E-2,-7.366943359E-1,-1.393127441E0,-2.564086914E-1,1.596642737E0
7.715916000E-2,-7.249755859E-1,-1.388854980E0,-2.489471436E-1,1.586342472E0
7.966160200E-2,-7.132568359E-1,-1.389923096E0,-2.446899414E-1,1.581295258E0
8.213352600E-2,-7.015380859E-1,-1.396316528E0,-2.393646240E-1,1.580870316E0
8.463596700E-2,-6.855621338E-1,-1.399520874E0,-2.361755371E-1,1.576208425E0
8.710789100E-2,-6.674499512E-1,-1.403778076E0,-2.372283936E-1,1.572373885E0
8.961033200E-2,-6.440124512E-1,-1.411239624E0,-2.404327393E-1,1.569763427E0
9.211277400E-2,-6.291046143E-1,-1.424011230E0,-2.425537109E-1,1.575567486E0
9.458469800E-2,-6.035308838E-1,-1.432540894E0,-2.457580566E-1,1.573791588E0
9.708713900E-2,-5.832977295E-1,-1.447448730E0,-2.521514893E-1,1.580798672E0
9.955906300E-2,-5.619812012E-1,-1.466629028E0,-2.510833740E-1,1.590555387E0
1.020615040E-1,-5.385589600E-1,-1.491119385E0,-2.564086914E-1,1.605997568E0
1.045334280E-1,-5.183105469E-1,-1.520950317E0,-2.617340088E-1,1.628017316E0
1.070358690E-1,-5.023345947E-1,-1.557174683E0,-2.595977783E-1,1.656660510E0
1.095077930E-1,-4.874267578E-1,-1.594451904E0,-2.574768066E-1,1.687055430E0
1.120102350E-1,-4.767608643E-1,-1.632812500E0,-2.595977783E-1,1.720688405E0
1.145126760E-1,-4.671783447E-1,-1.675415039E0,-2.574768066E-1,1.758284808E0
1.169846000E-1,-4.618530273E-1,-1.716964722E0,-2.585449219E-1,1.796697401E0
1.194870410E-1,-4.607849121E-1,-1.757446289E0,-2.574768066E-1,1.835002589E0
1.219894830E-1,-4.575958252E-1,-1.801116943E0,-2.606658936E-1,1.876529480E0
1.244919240E-1,-4.639892578E-1,-1.850128174E0,-2.606658936E-1,1.925151163E0
1.269638480E-1,-4.693145752E-1,-1.903381348E0,-2.649230957E-1,1.978206504E0
1.294662890E-1,-4.778289795E-1,-1.957717896E0,-2.681274414E-1,2.032946683E0
1.319687310E-1,-4.970092773E-1,-2.008850098E0,-2.766418457E-1,2.087828453E0
1.344406550E-1,-5.151214600E-1,-2.059982300E0,-2.926330566E-1,2.143481117E0
1.369125780E-1,-5.364227295E-1,-2.104721069E0,-3.064727783E-1,2.193519019E0
1.394150200E-1,-5.662536621E-1,-2.144134521E0,-3.245849609E-1,2.241274515E0
1.419174610E-1,-6.014099121E-1,-2.184616089E0,-3.501586914E-1,2.292782686E0
1.443893850E-1,-6.354980469E-1,-2.213378906E0,-3.735809326E-1,2.332909485E0
1.468918260E-1,-6.717071533E-1,-2.233612061E0,-3.938293457E-1,2.365441796E0
1.493637500E-1,-7.153930664E-1,-2.249588013E0,-4.130096436E-1,2.396457893E0
1.518661920E-1,-7.601318359E-1,-2.254928589E0,-4.300537109E-1,2.418150025E0
1.543381160E-1,-7.974090576E-1,-2.249588013E0,-4.417572021E-1,2.427273544E0
1.568405570E-1,-8.378906250E-1,-2.244262695E0,-4.492187500E-1,2.437329118E0
1.593429980E-1,-8.762359619E-1,-2.224029541E0,-4.545440674E-1,2.433250330E0
1.618149220E-1,-9.135284424E-1,-2.197402954E0,-4.534759521E-1,2.422551217E0
1.643173640E-1,-9.454803467E-1,-2.167572021E0,-4.460296631E-1,2.406500367E0
1.667892870E-1,-9.742431641E-1,-2.127090454E0,-4.311065674E-1,2.378973816E0
1.692917290E-1,-1.000885010E0,-2.072753906E0,-4.204559326E-1,2.339842463E0
1.717941700E-1,-1.023254395E0,-2.017364502E0,-4.023437500E-1,2.297539898E0
1.742660940E-1,-1.039230347E0,-1.953445435E0,-3.789062500E-1,2.244887241E0
1.767380180E-1,-1.055206299E0,-1.881011963E0,-3.533477783E-1,2.185525335E0
1.792404590E-1,-1.063720703E0,-1.803253174E0,-3.245849609E-1,2.118626711E0
1.817429010E-1,-1.067993164E0,-1.718032837E0,-2.968902588E-1,2.044600218E0
1.842148250E-1,-1.072250366E0,-1.627487183E0,-2.670593262E-1,1.967169556E0
1.867172660E-1,-1.075439453E0,-1.532669067E0,-2.382965088E-1,1.887439989E0
1.891891900E-1,-1.073318481E0,-1.439987183E0,-2.020874023E-1,1.807322596E0
1.916916310E-1,-1.071182251E0,-1.356903076E0,-1.626586914E-1,1.736397196E0
1.941635550E-1,-1.069061279E0,-1.280197144E0,-1.275177002E-1,1.672739522E0
1.966659960E-1,-1.065856934E0,-1.207763672E0,-9.129333496E-2,1.613405889E0
